cs-uri-stem,sc-status,sc-win32-status,COUNT(ALL cs-uri-stem)
/P.aspx,500,0,4813
/robots.txt,404,2,495
/crossdomain.xml,404,2,141
/robots.txt,404,64,110
/J,404,64,83
/portal/css.css,404,2,65
/P.aspx,500,64,38
/portal/spacer.gif,404,2,26
/ocom/groups/systemobject/@mktg_admin/documents/systemobject/s_code.js,404,2,20
/ocom/groups/systemobject/@mktg_admin/documents/systemobject/s_code_ocom.js,404,2,18
/ImageTrack.aspx,500,0,15
/portal/CampaignListSetLinkPercentage.aspx,500,0,14
/J,404,2,13
/portal/images/spacer.gif,404,2,13
/Process1.aspx,404,0,11
/host/gpw/images/https:/www.getpennywise.com/mailer/images/BidNowB.jpg,404,64,11
/portal/ReportByDomainAdjustment.aspx,500,0,11
/_vti_bin/owssvr.dll,404,2,10
/MSOffice/cltreq.asp,404,2,9
/labels.rdf,404,2,9
/Naropa/Change+this+to+advertiser+name_files/ga.js,404,2,9
/portal/HEADER.jpg,404,2,8
/sitemap.xml,404,2,8
/portal/bg.gif,404,2,7
/portal/bg_titlebar.png,404,2,7
/portal/bg_copy.png,404,2,7
/portal/img.gif,404,2,7
/PCopy.aspx,500,0,7
/host/gpw/images/https:/www.getpennywise.com/mailer/images/BidNowB.jpg,404,2,7
/media/js/emmaPager.js,404,2,6
/media/js/jquery.cookie.js,404,2,6
/media/js/latest/ui.core.js,404,2,6
/media/js/jqModal.js,404,2,6
/javascript/emmaUtil.js,404,2,6
/javascript/onloadManager.js,404,2,6
/media/themes/default/js/emma.dpl.js,404,2,6
/media/js/latest/ui.tabs.js,404,2,6
/media/js/emmaModal.js,404,2,6
/media/js/jquery-ui-1.7.2.custom.min.js,404,2,6
/media/plugins/betabar/betabar.js,404,2,6
/portal/GIRLS.jpg,404,2,6
/portal/CARS.jpg,404,2,6
/media/js/jquery.tablesorter-2.0.3.js,404,2,6
/Copy+of+Golf+Magazine+2.11/http:/www.operationinbox.net/host/5950/spacer.gif,404,2,6
/css/admin.css,404,2,5
/file:/data/webkitrel/miscdata/html/error.html,404,2,5
/Process1.aspx,404,64,5
/portal/Change+this+to+advertiser+name_files/ga.js,404,2,5
/portal/TOYOTA.jpg,404,2,5
/portal/gradient.png,404,2,5
/portal/F150.jpg,404,2,5
